Country Name,2011,2012,2013,2014,2015,2016,2017
Middle East & North Africa (IDA & IBRD countries),345887176,352259724,359233517,366582958,373867247,380687450,387152617
Tonga,107611,107502,107089,106626,106122,105707,105415
South Asia (IDA & IBRD),1684898004,1708706729,1731683901,1754030304,1775545180,1797072648,1818931519
Sub-Saharan Africa (IDA & IBRD countries),904282154,929328653,955096702,981506608,1008698799,1036155989,1063885274
Trinidad and Tobago,1420020,1430377,1440729,1450661,1460177,1469330,1478607
Tunisia,11032528,11174383,11300284,11428948,11557779,11685667,11811443
Turkiye,74223629,75175827,76147624,77181884,78218479,79277962,80312698
Tuvalu,10700,10854,10918,10899,10877,10852,10828
Tanzania,46416031,47786137,49253643,50814552,52542823,54401802,56267032
Uganda,33295738,34273295,35273570,36336539,37477356,38748299,40127085
Ukraine,45706086,45593342,45489648,45272155,45154036,45004673,44831135
Upper middle income,2587915297,2610195637,2632878553,2654785044,2675824754,2695996374,2716214857
Uruguay,3361637,3371133,3381180,3391662,3402818,3413766,3422200
United States,311583481,313877662,316059947,318386329,320738994,323071755,325122128
Uzbekistan,29339400,29774500,30243200,30757700,31298900,31847900,32388600
St. Vincent and the Grenadines,108703,108083,107450,106912,106482,105963,105549
"Venezuela, RB",29096159,29470426,29838021,30193258,30529716,30741464,30563433
British Virgin Islands,27962,28421,28657,28971,29366,29739,30060
Virgin Islands (U.S.),108290,108188,108041,107882,107712,107516,107281
Viet Nam,88349117,89301326,90267739,91235504,92191398,93126529,94033048
Vanuatu,251294,257313,263534,269927,276438,283218,290239
World,7054044372,7141386257,7229303088,7317040295,7403850164,7490415449,7576441961
Samoa,196351,198124,199939,201757,203571,205544,207630
Kosovo,1791000,1807106,1818117,1812771,1788196,1777557,1791003
"Yemen, Rep.",25475610,26223391,26984002,27753304,28516545,29274002,30034389
South Africa,52443325,53145033,53873616,54729551,55876504,56422274,56641209
Zambia,14265814,14744658,15234976,15737793,16248230,16767761,17298054
Zimbabwe,13025785,13265331,13555422,13855753,14154937,14452704,14751101
